# Data format: "%int(ChipTimeUS) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
3526519 -0.08632,1.05419,0.02802
3531565 -0.08525,1.04553,0.02071
3536371 -0.08530,1.04680,0.01897
3540933 -0.08631,1.05448,0.01522
3545737 -0.06743,1.07478,0.01738
3550293 -0.04877,1.08374,0.03391
3555095 -0.05610,1.08386,0.01747
3559653 -0.03389,1.08044,0.01736
3564204 -0.02297,1.09818,0.03558
3569007 0.00066,1.07172,0.05831
3573559 0.02010,1.03611,0.07327
3578362 0.02107,1.01347,0.07740
3582918 0.02453,1.00811,0.07595
3587718 0.00801,0.99683,0.07566
3592266 -0.00926,0.99802,0.06592
3596823 -0.02916,0.96954,0.05646
3601627 -0.04127,0.98429,0.04312
3606665 -0.06749,0.97956,0.04530
3611468 -0.07861,0.96010,0.04948
3616027 -0.08372,0.95082,0.04812
3620836 -0.08712,0.93898,0.05120
3625397 -0.09595,0.93070,0.04838
3629954 -0.10113,0.92831,0.04548
3634763 -0.10016,0.92744,0.04081
3639325 -0.10533,0.92983,0.04328
3644138 -0.10562,0.93671,0.04273
3648701 -0.10404,0.93747,0.04124
3653515 -0.09740,0.93265,0.03804
3658077 -0.08941,0.94472,0.03542
3662638 -0.08614,0.95955,0.02985
3667450 -0.07906,0.97144,0.02453
3672015 -0.08372,0.98885,0.02391
3677306 -0.08382,0.99639,0.02655
3681868 -0.08361,1.00225,0.02748
3686685 -0.08162,1.00932,0.02938
3691254 -0.08282,0.99426,0.03395
3696066 -0.07951,0.99202,0.03591
3700625 -0.07287,0.99236,0.04276
3705189 -0.06140,0.97677,0.04971
3709999 -0.04822,0.95842,0.06013
3714559 -0.04030,0.95085,0.05892
3719366 -0.03639,0.95589,0.06377
3723922 -0.03322,0.93539,0.07107
3728729 -0.03031,0.93706,0.07349
3733284 -0.02764,0.93901,0.07395
3737840 -0.02352,0.92857,0.08066
3742644 -0.01704,0.92752,0.08407
3747680 -0.01510,0.92487,0.09319
3752482 -0.00603,0.91697,0.09566
3757036 -0.01709,0.91748,0.09474
3761837 -0.02094,0.89480,0.10063
3766392 -0.02220,0.88663,0.10440
3770949 -0.02400,0.88051,0.10398
3775755 -0.03117,0.88141,0.10721
3780312 -0.03215,0.88289,0.10696
3785114 -0.03580,0.88225,0.10232
3789669 -0.04406,0.88741,0.10134
3794473 -0.05105,0.88417,0.10362
3799028 -0.05487,0.88764,0.10165
3803585 -0.06734,0.89425,0.10192
3808390 -0.06987,0.89970,0.09918
3812943 -0.07325,0.89824,0.09872
3818230 -0.06829,0.90553,0.10157
3822781 -0.06846,0.91483,0.10223
3827582 -0.07165,0.92503,0.09502
3832132 -0.07107,0.92229,0.09701
3836685 -0.06422,0.92838,0.09888
3841486 -0.05771,0.93754,0.09531
3846036 -0.04159,0.93094,0.10585
3850836 -0.02810,0.93768,0.11185
3855385 -0.02486,0.95330,0.10382
3860185 -0.03340,0.97580,0.09482
3864738 -0.04583,0.98186,0.08598
3869294 -0.05542,0.98587,0.08207
3874095 -0.06411,0.96933,0.07588
3878646 -0.06458,0.94282,0.07760
3883448 -0.06012,0.94600,0.07828
3888480 -0.06017,0.93638,0.08107
3893284 -0.08074,0.97575,0.09561
3897841 -0.09262,0.98484,0.09413
3902645 -0.08663,0.96875,0.09030
3907201 -0.07517,0.95866,0.09277
3911758 -0.07428,0.94850,0.09778
3916562 -0.06587,0.95024,0.10804
3921114 -0.05654,0.95787,0.10693
3925918 -0.05191,0.95681,0.11036
3930471 -0.03692,0.96602,0.11559
3935274 -0.02246,0.95559,0.12224
3939825 -0.01356,0.95690,0.12980
3944381 -0.01342,0.96416,0.13416
3949185 -0.00716,0.96258,0.13930
3953742 0.00041,0.95221,0.14254
3959029 0.00110,0.96807,0.14584
3963579 0.00206,0.97769,0.14304
3968383 0.00189,0.98156,0.14571
3972937 0.00154,0.98961,0.14712
3977494 -0.01170,0.99817,0.14762
3982301 -0.00156,0.99232,0.14662
3986856 -0.01079,1.01990,0.14028
3991656 -0.01452,1.01611,0.13419
3996211 -0.01175,1.03186,0.13157
4001013 -0.01002,1.03971,0.13100
4005569 -0.00173,1.03923,0.13095
4010123 -0.00860,1.07079,0.12210
4014928 -0.01075,1.07814,0.12204
4019477 -0.00564,1.08738,0.12587
4024280 -0.01100,1.08369,0.12618
4029318 -0.00061,1.07179,0.13262
4034125 0.00676,1.06581,0.13730
4038683 0.00999,1.07047,0.14806
4043240 0.01055,1.06784,0.15620
4048047 0.02585,1.06466,0.15662
4052605 0.03517,1.07266,0.14960
4057404 0.04086,1.07981,0.13671
4061959 0.04621,1.08929,0.12970
4066762 0.04524,1.10116,0.12468
4071313 0.04068,1.10556,0.12492
4075863 0.03413,1.11321,0.13375
4080669 0.03824,1.11348,0.14380
4085223 0.04239,1.10767,0.15170
4090025 0.04620,1.10440,0.15564
4094573 0.05266,1.09300,0.16161
4099371 0.06835,1.07525,0.16659
4104405 0.07800,1.05408,0.17115
4109206 0.08375,1.04345,0.16432
4113755 0.07897,1.04295,0.15353
4118308 0.07336,1.05072,0.14562
4123108 0.05308,1.05241,0.13491
4127658 0.03837,1.05786,0.13200
4132456 0.03420,1.09548,0.13759
4137007 0.02868,1.07502,0.12059
4141805 0.01564,1.08486,0.10730
4146354 0.00767,1.09917,0.10255
4150899 -0.01066,1.11393,0.09958
4155697 -0.01327,1.11592,0.09810
4160250 -0.03325,1.11087,0.08228
4165051 -0.00760,1.12803,0.10484
4169600 -0.00943,1.12284,0.09580
4174878 -0.00809,1.10791,0.09494
4179428 -0.02151,1.11572,0.08512
4183978 -0.02778,1.11734,0.07801
4188776 -0.02297,1.11785,0.07723
4193326 -0.03012,1.10281,0.06979
4198124 0.00054,1.09445,0.09452
4202674 0.01486,1.09270,0.09641
4207475 0.02369,1.05866,0.09518
4212027 0.02431,1.04953,0.09821
4216577 0.02349,1.04713,0.09578
4221381 0.02629,1.04098,0.09680
4225936 0.02520,1.01857,0.09061
4230737 0.02003,0.99451,0.09234
4235284 0.01295,0.96662,0.10125
4240083 0.01270,0.96230,0.08579
4245117 0.01677,0.94313,0.07708
4249671 0.00272,0.93308,0.07676
4254472 -0.00169,0.92854,0.08274
4259023 -0.01144,0.92024,0.08066
4263827 0.00584,0.92911,0.10163
4268382 0.01618,0.92399,0.10038
4273184 0.02959,0.91155,0.09844
4277736 0.02924,0.91423,0.09891
4282282 0.02718,0.91932,0.10134
4287081 0.02452,0.91669,0.10925
