# Data format: "%int(ChipTimeUS) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
233114922 1.02830,0.18293,0.02780
233119495 1.02384,0.17925,0.03918
233124327 1.02365,0.17797,0.05272
233128905 0.99362,0.15431,0.06863
233134213 0.98114,0.17199,0.06683
233138789 0.98423,0.17555,0.05004
233143622 0.99437,0.16420,0.05377
233148205 0.98715,0.18743,0.05607
233152790 1.01062,0.16685,0.02314
233157620 0.99484,0.15977,0.02133
233162202 0.99166,0.13836,0.00309
233167035 0.96441,0.14765,-0.01896
233171620 0.91638,0.14823,-0.03539
233176457 0.87901,0.16254,-0.05201
233181044 0.86072,0.16080,-0.06271
233185630 0.84997,0.15387,-0.04855
233190461 0.86502,0.14058,-0.04558
233195040 0.91536,0.14983,-0.01941
233199869 0.98023,0.14838,-0.01808
233204930 1.01101,0.14854,-0.01336
233209762 1.01742,0.15932,-0.00193
233214344 0.98489,0.15172,-0.00264
233219173 0.95097,0.14439,-0.00482
233223754 0.86551,0.13859,-0.01136
233228336 0.81404,0.16546,-0.03071
233233168 0.79870,0.17950,-0.01254
233237750 0.80615,0.17066,0.02194
233242578 0.80867,0.14401,0.03004
233247156 0.80473,0.13972,0.02469
233251986 0.80191,0.14626,0.02809
233256568 0.85923,0.16983,0.05015
233261148 0.90412,0.17322,0.05328
233265973 0.98678,0.14315,0.05204
233271035 1.01873,0.13306,0.03274
233275866 1.01120,0.14828,0.02059
233280448 0.99056,0.17446,-0.00042
233285277 0.97838,0.17536,-0.01905
233289854 0.97422,0.16007,-0.02627
233294679 0.95432,0.16262,-0.00894
233299257 0.93482,0.18221,0.01315
233303836 0.94399,0.18816,0.01033
233308667 0.96075,0.15742,-0.00648
233313247 0.97814,0.13836,-0.01970
233318080 0.97957,0.13719,-0.02216
233322665 0.96245,0.15626,-0.03157
233327497 0.93750,0.16965,-0.02809
233332077 0.91410,0.17348,-0.01371
233336662 0.90261,0.16795,-0.00768
233341975 0.85406,0.14811,-0.00990
233346560 0.85166,0.16245,-0.04864
233351388 0.88561,0.16926,-0.04523
233355971 0.92281,0.14266,-0.02726
233360803 0.89716,0.14582,-0.02664
233365387 0.89187,0.17908,-0.05716
233369964 0.93356,0.18684,-0.04101
233374789 0.98359,0.15559,-0.01153
233379367 0.97622,0.13373,0.01234
233384197 0.90923,0.15183,0.02293
233388776 0.86951,0.19424,-0.00057
233393603 0.89559,0.17537,0.01124
233398182 0.87293,0.13012,0.02852
233402765 0.86423,0.18826,0.01452
233408073 0.82157,0.22856,0.01960
233412657 0.84774,0.19093,0.04880
233417482 0.88122,0.17730,0.03420
233422064 0.91702,0.18959,0.02279
233426889 0.91790,0.21223,0.00757
233431469 0.89114,0.23056,0.00905
233436289 0.89273,0.23615,0.01096
233440867 0.91147,0.22765,0.01904
233445442 0.95147,0.21706,0.01174
233450270 0.99283,0.19245,-0.03800
233454843 1.04184,0.16011,-0.05893
