# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/27/20 20:05:29.537046 0.04492,1.29785,0.16162
03/27/20 20:05:29.546372 0.00122,1.33398,0.18555
03/27/20 20:05:29.551729 -0.02002,1.34521,0.18604
03/27/20 20:05:29.561064 -0.07178,1.34277,0.18359
03/27/20 20:05:29.570147 -0.10254,1.31421,0.17920
03/27/20 20:05:29.579479 -0.12158,1.30762,0.18140
03/27/20 20:05:29.588808 -0.11670,1.31006,0.17188
03/27/20 20:05:29.598131 -0.11279,1.28516,0.16455
03/27/20 20:05:29.607452 -0.09424,1.27637,0.13086
03/27/20 20:05:29.616774 -0.05615,1.30225,0.07397
03/27/20 20:05:29.626114 -0.00195,1.34277,0.02246
03/27/20 20:05:29.635206 0.06055,1.39795,-0.03564
03/27/20 20:05:29.640562 0.07373,1.40625,-0.04395
03/27/20 20:05:29.649900 0.08203,1.37598,-0.04126
03/27/20 20:05:29.659237 0.05493,1.31128,-0.01855
03/27/20 20:05:29.668570 0.03784,1.24536,0.01904
03/27/20 20:05:29.677631 0.03564,1.14453,0.05029
03/27/20 20:05:29.686958 0.02563,1.07520,0.05566
03/27/20 20:05:29.696281 0.00732,0.98755,0.07031
03/27/20 20:05:29.705618 -0.04907,0.92139,0.08643
03/27/20 20:05:29.714945 -0.09326,0.84082,0.10107
03/27/20 20:05:29.724266 -0.10620,0.79028,0.11182
03/27/20 20:05:29.734058 -0.11890,0.72119,0.13818
03/27/20 20:05:29.743116 -0.11670,0.70361,0.13745
03/27/20 20:05:29.752426 -0.09375,0.67432,0.12744
03/27/20 20:05:29.761732 -0.09375,0.67212,0.11670
03/27/20 20:05:29.771042 -0.08862,0.67554,0.12012
03/27/20 20:05:29.780350 -0.08057,0.67920,0.11328
03/27/20 20:05:29.789654 -0.07764,0.68359,0.11133
03/27/20 20:05:29.798969 -0.09473,0.68115,0.12646
03/27/20 20:05:29.808041 -0.09033,0.68164,0.14258
03/27/20 20:05:29.817369 -0.09570,0.67358,0.15332
03/27/20 20:05:29.822722 -0.11206,0.68359,0.15234
03/27/20 20:05:29.832039 -0.12158,0.70947,0.15039
